priority_rank,industry,company,scored_date,score_basis,industry_growth_score,company_strength_score,stability_score,compensation_score,career_capital_score,new_grad_access_score,culture_clarity_score,work_life_balance_score,transferability_score,disclosure_score,comparison_value_score,overall_score,advantage_tags,caution_tags,scoring_notes
16,コンサル,デロイトトーマツコンサルティング,2026-05-13,initial_hypothesis,5,4,3,5,5,4,3,2,5,4,4,4.12,"成長環境, 高待遇, 転職市場価値","労働負荷, 選考難度, 適性差","初期仮説。 強み: industry_growth, compensation, career_capital, transferability。 要確認: work_life_balance。 新卒マイページは公式確認待ち。"
17,コンサル,PwCコンサルティング,2026-05-13,initial_hypothesis,5,4,3,5,5,4,3,2,5,4,4,4.12,"成長環境, 高待遇, 転職市場価値","労働負荷, 選考難度, 適性差","初期仮説。 強み: industry_growth, compensation, career_capital, transferability。 要確認: work_life_balance。 新卒マイページは公式確認待ち。"
18,コンサル,KPMGコンサルティング,2026-05-13,initial_hypothesis,5,4,3,5,5,5,4,2,5,4,4,4.29,"成長環境, 高待遇, 転職市場価値","労働負荷, 選考難度, 適性差","初期仮説。 強み: industry_growth, compensation, career_capital, new_grad_access。 要確認: work_life_balance。"
19,コンサル,EYストラテジー・アンド・コンサルティング,2026-05-13,initial_hypothesis,5,4,3,5,5,4,3,2,5,4,4,4.12,"成長環境, 高待遇, 転職市場価値","労働負荷, 選考難度, 適性差","初期仮説。 強み: industry_growth, compensation, career_capital, transferability。 要確認: work_life_balance。 新卒マイページは公式確認待ち。"
20,コンサル,ベイカレント,2026-05-13,initial_hypothesis,5,4,3,5,5,4,3,2,5,4,5,4.17,"成長環境, 高待遇, 転職市場価値","労働負荷, 選考難度, 適性差","初期仮説。 強み: industry_growth, compensation, career_capital, transferability。 要確認: work_life_balance。 新卒マイページは公式確認待ち。"
21,コンサル,アビームコンサルティング,2026-05-13,initial_hypothesis,5,4,3,5,5,4,3,2,5,4,4,4.12,"成長環境, 高待遇, 転職市場価値","労働負荷, 選考難度, 適性差","初期仮説。 強み: industry_growth, compensation, career_capital, transferability。 要確認: work_life_balance。 新卒マイページは公式確認待ち。"
22,コンサル,野村総合研究所,2026-05-13,initial_hypothesis,5,5,3,5,5,4,3,2,5,4,5,4.3,"成長環境, 高待遇, 転職市場価値","労働負荷, 選考難度, 適性差","初期仮説。 強み: industry_growth, company_strength, compensation, career_capital。 要確認: work_life_balance。 新卒マイページは公式確認待ち。"
23,総合商社,三菱商事,2026-05-13,initial_hypothesis,4,5,5,5,5,4,3,3,5,4,5,4.47,"高待遇, グローバル, 事業投資経験","選考難度, 配属幅, 海外勤務可能性","初期仮説。 強み: company_strength, stability, compensation, career_capital。 新卒マイページは公式確認待ち。"
24,総合商社,三井物産,2026-05-13,initial_hypothesis,4,5,5,5,5,5,4,3,5,4,5,4.64,"高待遇, グローバル, 事業投資経験","選考難度, 配属幅, 海外勤務可能性","初期仮説。 強み: company_strength, stability, compensation, career_capital。"
25,総合商社,伊藤忠商事,2026-05-13,initial_hypothesis,4,5,5,5,5,4,3,3,5,4,5,4.47,"高待遇, グローバル, 事業投資経験","選考難度, 配属幅, 海外勤務可能性","初期仮説。 強み: company_strength, stability, compensation, career_capital。 新卒マイページは公式確認待ち。"
26,総合商社,住友商事,2026-05-13,initial_hypothesis,4,4,5,5,5,4,3,3,5,4,4,4.29,"高待遇, グローバル, 事業投資経験","選考難度, 配属幅, 海外勤務可能性","初期仮説。 強み: stability, compensation, career_capital, transferability。 新卒マイページは公式確認待ち。"
27,総合商社,丸紅,2026-05-13,initial_hypothesis,4,4,5,5,5,4,3,3,5,4,4,4.29,"高待遇, グローバル, 事業投資経験","選考難度, 配属幅, 海外勤務可能性","初期仮説。 強み: stability, compensation, career_capital, transferability。 新卒マイページは公式確認待ち。"
28,総合商社,豊田通商,2026-05-13,initial_hypothesis,4,4,5,5,5,4,3,3,5,4,4,4.29,"高待遇, グローバル, 事業投資経験","選考難度, 配属幅, 海外勤務可能性","初期仮説。 強み: stability, compensation, career_capital, transferability。 新卒マイページは公式確認待ち。"
29,総合商社,双日,2026-05-13,initial_hypothesis,4,4,5,5,5,4,3,3,5,4,4,4.29,"高待遇, グローバル, 事業投資経験","選考難度, 配属幅, 海外勤務可能性","初期仮説。 強み: stability, compensation, career_capital, transferability。 新卒マイページは公式確認待ち。"
30,総合商社,兼松,2026-05-13,initial_hypothesis,4,4,5,5,5,4,3,3,5,4,4,4.29,"高待遇, グローバル, 事業投資経験","選考難度, 配属幅, 海外勤務可能性","初期仮説。 強み: stability, compensation, career_capital, transferability。 新卒マイページは公式確認待ち。"
31,金融,三井住友銀行,2026-05-13,initial_hypothesis,3,5,5,4,4,5,4,3,4,4,5,4.21,"社会インフラ性, 金融専門性, 大規模顧客基盤","規制産業, 営業適性, 組織階層","初期仮説。 強み: company_strength, stability, new_grad_access, comparison_value。"
32,金融,三菱UFJ銀行,2026-05-13,initial_hypothesis,3,5,5,4,4,5,3,3,4,4,5,4.14,"社会インフラ性, 金融専門性, 大規模顧客基盤","規制産業, 営業適性, 組織階層","初期仮説。 強み: company_strength, stability, new_grad_access, comparison_value。 新卒マイページは公式確認待ち。"
33,金融,みずほフィナンシャルグループ,2026-05-13,initial_hypothesis,3,4,5,4,4,4,3,3,4,4,4,3.86,"社会インフラ性, 金融専門性, 大規模顧客基盤","規制産業, 営業適性, 組織階層",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
34,金融,野村證券,2026-05-13,initial_hypothesis,3,4,5,4,4,4,3,3,4,4,4,3.86,"社会インフラ性, 金融専門性, 大規模顧客基盤","規制産業, 営業適性, 組織階層",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
35,金融,大和証券,2026-05-13,initial_hypothesis,3,4,5,4,4,4,3,3,4,4,4,3.86,"社会インフラ性, 金融専門性, 大規模顧客基盤","規制産業, 営業適性, 組織階層",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
36,金融,SMBC日興証券,2026-05-13,initial_hypothesis,3,4,5,4,4,4,3,3,4,4,4,3.86,"社会インフラ性, 金融専門性, 大規模顧客基盤","規制産業, 営業適性, 組織階層",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
37,金融,東京海上日動火災保険,2026-05-13,initial_hypothesis,3,5,5,5,4,4,3,3,4,4,5,4.14,"社会インフラ性, 金融専門性, 大規模顧客基盤","規制産業, 営業適性, 組織階層","初期仮説。 強み: company_strength, stability, compensation, comparison_value。 新卒マイページは公式確認待ち。"
38,金融,三井住友海上火災保険,2026-05-13,initial_hypothesis,3,4,5,4,4,4,3,3,4,4,4,3.86,"社会インフラ性, 金融専門性, 大規模顧客基盤","規制産業, 営業適性, 組織階層",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
39,金融,損害保険ジャパン,2026-05-13,initial_hypothesis,3,4,5,4,4,4,3,3,4,4,4,3.86,"社会インフラ性, 金融専門性, 大規模顧客基盤","規制産業, 営業適性, 組織階層",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
40,金融,日本生命保険,2026-05-13,initial_hypothesis,3,4,5,4,4,4,3,3,4,4,4,3.86,"社会インフラ性, 金融専門性, 大規模顧客基盤","規制産業, 営業適性, 組織階層",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
41,金融,第一生命保険,2026-05-13,initial_hypothesis,3,4,5,4,4,4,3,3,4,4,4,3.86,"社会インフラ性, 金融専門性, 大規模顧客基盤","規制産業, 営業適性, 組織階層",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
42,金融,アコム,2026-05-13,initial_hypothesis,3,4,5,4,4,5,4,3,4,4,4,4.03,"社会インフラ性, 金融専門性, 大規模顧客基盤","規制産業, 営業適性, 組織階層","初期仮説。 強み: stability, new_grad_access。"
43,自動車・機械・精密,トヨタ自動車,2026-05-13,initial_hypothesis,4,5,5,4,5,4,3,3,4,4,5,4.27,"ものづくり, グローバル, 技術蓄積","景気循環, 勤務地, EV・自動化対応","初期仮説。 強み: company_strength, stability, career_capital, comparison_value。 新卒マイページは公式確認待ち。"
44,自動車・機械・精密,本田技研工業,2026-05-13,initial_hypothesis,4,4,4,4,4,4,3,3,4,4,4,3.86,"ものづくり, グローバル, 技術蓄積","景気循環, 勤務地, EV・自動化対応",初期仮説。 新卒マイページは公式確認待ち。
45,自動車・機械・精密,日産自動車,2026-05-13,initial_hypothesis,4,4,4,4,4,4,3,3,4,4,4,3.86,"ものづくり, グローバル, 技術蓄積","景気循環, 勤務地, EV・自動化対応",初期仮説。 新卒マイページは公式確認待ち。
46,自動車・機械・精密,マツダ,2026-05-13,initial_hypothesis,4,4,4,4,4,5,4,3,4,4,4,4.03,"ものづくり, グローバル, 技術蓄積","景気循環, 勤務地, EV・自動化対応",初期仮説。 強み: new_grad_access。
47,自動車・機械・精密,スズキ,2026-05-13,initial_hypothesis,4,4,4,4,4,4,3,3,4,4,4,3.86,"ものづくり, グローバル, 技術蓄積","景気循環, 勤務地, EV・自動化対応",初期仮説。 新卒マイページは公式確認待ち。
48,自動車・機械・精密,SUBARU,2026-05-13,initial_hypothesis,4,4,4,4,4,4,3,3,4,4,4,3.86,"ものづくり, グローバル, 技術蓄積","景気循環, 勤務地, EV・自動化対応",初期仮説。 新卒マイページは公式確認待ち。
49,自動車・機械・精密,デンソー,2026-05-13,initial_hypothesis,4,4,4,4,4,4,3,3,4,4,4,3.86,"ものづくり, グローバル, 技術蓄積","景気循環, 勤務地, EV・自動化対応",初期仮説。 新卒マイページは公式確認待ち。
50,自動車・機械・精密,アイシン,2026-05-13,initial_hypothesis,4,4,4,4,4,4,3,3,4,4,4,3.86,"ものづくり, グローバル, 技術蓄積","景気循環, 勤務地, EV・自動化対応",初期仮説。 新卒マイページは公式確認待ち。
51,自動車・機械・精密,キーエンス,2026-05-13,initial_hypothesis,4,5,4,5,5,5,4,2,4,4,5,4.37,"ものづくり, グローバル, 技術蓄積","景気循環, 勤務地, EV・自動化対応","初期仮説。 強み: company_strength, compensation, career_capital, new_grad_access。 要確認: work_life_balance。"
52,自動車・機械・精密,ファナック,2026-05-13,initial_hypothesis,4,4,4,4,4,4,3,3,4,4,4,3.86,"ものづくり, グローバル, 技術蓄積","景気循環, 勤務地, EV・自動化対応",初期仮説。 新卒マイページは公式確認待ち。
53,自動車・機械・精密,小松製作所,2026-05-13,initial_hypothesis,4,4,4,4,4,4,3,3,4,4,4,3.86,"ものづくり, グローバル, 技術蓄積","景気循環, 勤務地, EV・自動化対応",初期仮説。 新卒マイページは公式確認待ち。
54,自動車・機械・精密,クボタ,2026-05-13,initial_hypothesis,4,4,4,4,4,4,3,3,4,4,4,3.86,"ものづくり, グローバル, 技術蓄積","景気循環, 勤務地, EV・自動化対応",初期仮説。 新卒マイページは公式確認待ち。
55,電機・半導体,ソニーグループ,2026-05-13,initial_hypothesis,5,5,4,4,5,5,4,3,4,4,5,4.44,"半導体需要, BtoB技術, グローバル","市況変動, 事業再編, 技術競争","初期仮説。 強み: industry_growth, company_strength, career_capital, new_grad_access。"
56,電機・半導体,パナソニックグループ,2026-05-13,initial_hypothesis,5,4,4,4,4,5,3,3,4,5,4,4.11,"半導体需要, BtoB技術, グローバル","市況変動, 事業再編, 技術競争","初期仮説。 強み: industry_growth, new_grad_access, disclosure。 新卒マイページは公式確認待ち。"
57,電機・半導体,三菱電機,2026-05-13,initial_hypothesis,5,4,4,4,4,4,3,3,4,4,4,3.96,"半導体需要, BtoB技術, グローバル","市況変動, 事業再編, 技術競争",初期仮説。 強み: industry_growth。 新卒マイページは公式確認待ち。
58,電機・半導体,東芝,2026-05-13,initial_hypothesis,5,4,4,4,4,4,3,3,4,4,4,3.96,"半導体需要, BtoB技術, グローバル","市況変動, 事業再編, 技術競争",初期仮説。 強み: industry_growth。 新卒マイページは公式確認待ち。
59,電機・半導体,シャープ,2026-05-13,initial_hypothesis,5,4,4,4,4,4,3,3,4,4,4,3.96,"半導体需要, BtoB技術, グローバル","市況変動, 事業再編, 技術競争",初期仮説。 強み: industry_growth。 新卒マイページは公式確認待ち。
60,電機・半導体,キヤノン,2026-05-13,initial_hypothesis,5,4,4,4,4,4,3,3,4,4,4,3.96,"半導体需要, BtoB技術, グローバル","市況変動, 事業再編, 技術競争",初期仮説。 強み: industry_growth。 新卒マイページは公式確認待ち。
61,電機・半導体,リコー,2026-05-13,initial_hypothesis,5,4,4,4,4,4,3,3,4,4,4,3.96,"半導体需要, BtoB技術, グローバル","市況変動, 事業再編, 技術競争",初期仮説。 強み: industry_growth。 新卒マイページは公式確認待ち。
62,電機・半導体,オムロン,2026-05-13,initial_hypothesis,5,4,4,4,4,4,3,3,4,4,4,3.96,"半導体需要, BtoB技術, グローバル","市況変動, 事業再編, 技術競争",初期仮説。 強み: industry_growth。 新卒マイページは公式確認待ち。
63,電機・半導体,村田製作所,2026-05-13,initial_hypothesis,5,4,4,4,4,4,3,3,4,4,4,3.96,"半導体需要, BtoB技術, グローバル","市況変動, 事業再編, 技術競争",初期仮説。 強み: industry_growth。 新卒マイページは公式確認待ち。
64,電機・半導体,TDK,2026-05-13,initial_hypothesis,5,4,4,4,4,4,3,3,4,4,4,3.96,"半導体需要, BtoB技術, グローバル","市況変動, 事業再編, 技術競争",初期仮説。 強み: industry_growth。 新卒マイページは公式確認待ち。
65,電機・半導体,東京エレクトロン,2026-05-13,initial_hypothesis,5,5,4,5,5,4,3,3,4,4,5,4.37,"半導体需要, BtoB技術, グローバル","市況変動, 事業再編, 技術競争","初期仮説。 強み: industry_growth, company_strength, compensation, career_capital。 新卒マイページは公式確認待ち。"
66,電機・半導体,レーザーテック,2026-05-13,initial_hypothesis,5,5,3,5,4,3,3,3,4,4,5,4.04,"半導体需要, BtoB技術, グローバル","市況変動, 事業再編, 技術競争","初期仮説。 強み: industry_growth, company_strength, compensation, comparison_value。 新卒マイページは公式確認待ち。"
67,消費財・食品・日用品,花王,2026-05-13,initial_hypothesis,3,5,5,3,4,4,3,4,4,4,5,4.01,"ブランド, 生活密着, マーケティング経験","国内市場成熟, 人気集中, 職種別採用枠","初期仮説。 強み: company_strength, stability, comparison_value。 新卒マイページは公式確認待ち。"
68,消費財・食品・日用品,ライオン,2026-05-13,initial_hypothesis,3,4,5,3,4,4,3,4,4,4,4,3.83,"ブランド, 生活密着, マーケティング経験","国内市場成熟, 人気集中, 職種別採用枠",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
69,消費財・食品・日用品,資生堂,2026-05-13,initial_hypothesis,3,5,5,3,5,4,3,4,4,4,5,4.14,"ブランド, 生活密着, マーケティング経験","国内市場成熟, 人気集中, 職種別採用枠","初期仮説。 強み: company_strength, stability, career_capital, comparison_value。 新卒マイページは公式確認待ち。"
70,消費財・食品・日用品,ユニ・チャーム,2026-05-13,initial_hypothesis,3,4,5,3,4,4,3,4,4,4,4,3.83,"ブランド, 生活密着, マーケティング経験","国内市場成熟, 人気集中, 職種別採用枠",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
71,消費財・食品・日用品,サントリーホールディングス,2026-05-13,initial_hypothesis,3,5,5,3,5,4,3,4,4,4,5,4.14,"ブランド, 生活密着, マーケティング経験","国内市場成熟, 人気集中, 職種別採用枠","初期仮説。 強み: company_strength, stability, career_capital, comparison_value。 新卒マイページは公式確認待ち。"
72,消費財・食品・日用品,アサヒグループホールディングス,2026-05-13,initial_hypothesis,3,4,5,3,4,4,3,4,4,4,4,3.83,"ブランド, 生活密着, マーケティング経験","国内市場成熟, 人気集中, 職種別採用枠",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
73,消費財・食品・日用品,キリンホールディングス,2026-05-13,initial_hypothesis,3,4,5,3,4,4,3,4,4,4,4,3.83,"ブランド, 生活密着, マーケティング経験","国内市場成熟, 人気集中, 職種別採用枠",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
74,消費財・食品・日用品,味の素,2026-05-13,initial_hypothesis,3,4,5,3,4,4,3,4,4,4,4,3.83,"ブランド, 生活密着, マーケティング経験","国内市場成熟, 人気集中, 職種別採用枠",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
75,消費財・食品・日用品,明治ホールディングス,2026-05-13,initial_hypothesis,3,4,5,3,4,4,3,4,4,4,4,3.83,"ブランド, 生活密着, マーケティング経験","国内市場成熟, 人気集中, 職種別採用枠",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
76,消費財・食品・日用品,日清食品ホールディングス,2026-05-13,initial_hypothesis,3,4,5,3,4,4,3,4,4,4,4,3.83,"ブランド, 生活密着, マーケティング経験","国内市場成熟, 人気集中, 職種別採用枠",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
77,消費財・食品・日用品,ロッテ,2026-05-13,initial_hypothesis,3,4,5,3,4,4,3,4,4,4,4,3.83,"ブランド, 生活密着, マーケティング経験","国内市場成熟, 人気集中, 職種別採用枠",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
78,消費財・食品・日用品,TOTO,2026-05-13,initial_hypothesis,3,4,5,3,4,4,3,4,4,4,4,3.83,"ブランド, 生活密着, マーケティング経験","国内市場成熟, 人気集中, 職種別採用枠",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
79,製薬・ヘルスケア,武田薬品工業,2026-05-13,initial_hypothesis,4,5,4,5,5,4,3,4,4,4,5,4.34,"高付加価値, 研究開発, 社会貢献性","研究開発リスク, 職種要件, 薬価制度","初期仮説。 強み: company_strength, compensation, career_capital, comparison_value。 新卒マイページは公式確認待ち。"
80,製薬・ヘルスケア,第一三共,2026-05-13,initial_hypothesis,4,5,4,5,5,4,3,4,4,4,5,4.34,"高付加価値, 研究開発, 社会貢献性","研究開発リスク, 職種要件, 薬価制度","初期仮説。 強み: company_strength, compensation, career_capital, comparison_value。 新卒マイページは公式確認待ち。"
81,製薬・ヘルスケア,アステラス製薬,2026-05-13,initial_hypothesis,4,4,4,4,4,4,3,4,4,4,4,3.93,"高付加価値, 研究開発, 社会貢献性","研究開発リスク, 職種要件, 薬価制度",初期仮説。 新卒マイページは公式確認待ち。
82,製薬・ヘルスケア,エーザイ,2026-05-13,initial_hypothesis,4,4,4,4,4,4,3,4,4,4,4,3.93,"高付加価値, 研究開発, 社会貢献性","研究開発リスク, 職種要件, 薬価制度",初期仮説。 新卒マイページは公式確認待ち。
83,製薬・ヘルスケア,中外製薬,2026-05-13,initial_hypothesis,4,4,4,4,4,4,3,4,4,4,4,3.93,"高付加価値, 研究開発, 社会貢献性","研究開発リスク, 職種要件, 薬価制度",初期仮説。 新卒マイページは公式確認待ち。
84,製薬・ヘルスケア,塩野義製薬,2026-05-13,initial_hypothesis,4,4,4,4,4,4,3,4,4,4,4,3.93,"高付加価値, 研究開発, 社会貢献性","研究開発リスク, 職種要件, 薬価制度",初期仮説。 新卒マイページは公式確認待ち。
85,製薬・ヘルスケア,大塚製薬,2026-05-13,initial_hypothesis,4,4,4,4,4,4,3,4,4,4,4,3.93,"高付加価値, 研究開発, 社会貢献性","研究開発リスク, 職種要件, 薬価制度",初期仮説。 新卒マイページは公式確認待ち。
86,製薬・ヘルスケア,大鵬薬品工業,2026-05-13,initial_hypothesis,4,4,4,4,4,5,4,4,4,4,4,4.1,"高付加価値, 研究開発, 社会貢献性","研究開発リスク, 職種要件, 薬価制度",初期仮説。 強み: new_grad_access。
87,広告・エンタメ・メディア,電通,2026-05-13,initial_hypothesis,3,5,3,5,5,5,4,2,4,4,5,4.17,"企画力, IP・ブランド, クリエイティブ経験","労働負荷, 市場構造変化, 人気集中","初期仮説。 強み: company_strength, compensation, career_capital, new_grad_access。 要確認: work_life_balance。"
88,広告・エンタメ・メディア,博報堂DYグループ,2026-05-13,initial_hypothesis,3,5,3,5,5,4,3,2,4,4,5,4.0,"企画力, IP・ブランド, クリエイティブ経験","労働負荷, 市場構造変化, 人気集中","初期仮説。 強み: company_strength, compensation, career_capital, comparison_value。 要確認: work_life_balance。 新卒マイページは公式確認待ち。"
89,広告・エンタメ・メディア,ADKホールディングス,2026-05-13,initial_hypothesis,3,4,3,4,4,4,3,2,4,4,4,3.59,"企画力, IP・ブランド, クリエイティブ経験","労働負荷, 市場構造変化, 人気集中",初期仮説。 要確認: work_life_balance。 新卒マイページは公式確認待ち。
90,広告・エンタメ・メディア,NHK,2026-05-13,initial_hypothesis,3,4,3,4,4,4,3,2,4,4,4,3.59,"企画力, IP・ブランド, クリエイティブ経験","労働負荷, 市場構造変化, 人気集中",初期仮説。 要確認: work_life_balance。 新卒マイページは公式確認待ち。
91,広告・エンタメ・メディア,日本テレビホールディングス,2026-05-13,initial_hypothesis,3,4,3,4,4,4,3,2,4,4,4,3.59,"企画力, IP・ブランド, クリエイティブ経験","労働負荷, 市場構造変化, 人気集中",初期仮説。 要確認: work_life_balance。 新卒マイページは公式確認待ち。
92,広告・エンタメ・メディア,フジ・メディア・ホールディングス,2026-05-13,initial_hypothesis,3,4,3,4,4,4,3,2,4,4,4,3.59,"企画力, IP・ブランド, クリエイティブ経験","労働負荷, 市場構造変化, 人気集中",初期仮説。 要確認: work_life_balance。 新卒マイページは公式確認待ち。
93,広告・エンタメ・メディア,任天堂,2026-05-13,initial_hypothesis,3,5,5,5,4,4,3,4,4,4,5,4.21,"企画力, IP・ブランド, クリエイティブ経験","労働負荷, 市場構造変化, 人気集中","初期仮説。 強み: company_strength, stability, compensation, comparison_value。 新卒マイページは公式確認待ち。"
94,広告・エンタメ・メディア,バンダイ / BANDAI SPIRITS,2026-05-13,initial_hypothesis,3,4,3,4,4,5,4,2,4,4,4,3.76,"企画力, IP・ブランド, クリエイティブ経験","労働負荷, 市場構造変化, 人気集中",初期仮説。 強み: new_grad_access。 要確認: work_life_balance。
95,不動産・インフラ,三井不動産,2026-05-13,initial_hypothesis,3,5,5,5,5,4,3,3,4,4,5,4.27,"資産性, 社会インフラ, 大規模案件","景気・金利影響, 配属地, 規制対応","初期仮説。 強み: company_strength, stability, compensation, career_capital。 新卒マイページは公式確認待ち。"
96,不動産・インフラ,三菱地所,2026-05-13,initial_hypothesis,3,5,5,5,5,4,3,3,4,4,5,4.27,"資産性, 社会インフラ, 大規模案件","景気・金利影響, 配属地, 規制対応","初期仮説。 強み: company_strength, stability, compensation, career_capital。 新卒マイページは公式確認待ち。"
97,不動産・インフラ,住友不動産,2026-05-13,initial_hypothesis,3,4,5,4,4,4,3,3,4,4,4,3.86,"資産性, 社会インフラ, 大規模案件","景気・金利影響, 配属地, 規制対応",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
98,不動産・インフラ,JR東日本,2026-05-13,initial_hypothesis,3,4,5,4,4,4,3,3,4,4,4,3.86,"資産性, 社会インフラ, 大規模案件","景気・金利影響, 配属地, 規制対応",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
99,不動産・インフラ,東京電力ホールディングス,2026-05-13,initial_hypothesis,3,4,5,4,4,4,3,3,4,4,4,3.86,"資産性, 社会インフラ, 大規模案件","景気・金利影響, 配属地, 規制対応",初期仮説。 強み: stability。 新卒マイページは公式確認待ち。
