priority_rank,industry,company,selection_reason,new_grad_hiring_status,mypage_2028_status,mypage_url,notes
14,IT・SI・通信,NTTデータビジネスシステムズ,NTTデータ系SIの比較対象,新卒採用あり,確認済み,https://www.nttdata-bizsys.co.jp/recruit/newgraduate/recruit/mypage.html,公式新卒採用マイページ導線を確認
15,コンサル,アクセンチュア,総合コンサル・ITコンサル最大級,新卒採用あり,要確認,https://www.google.com/search?q=%E3%82%A2%E3%82%AF%E3%82%BB%E3%83%B3%E3%83%81%E3%83%A5%E3%82%A2+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
16,コンサル,デロイトトーマツコンサルティング,Big4系総合コンサル,新卒採用あり,要確認,https://www.google.com/search?q=%E3%83%87%E3%83%AD%E3%82%A4%E3%83%88%E3%83%88%E3%83%BC%E3%83%9E%E3%83%84%E3%82%B3%E3%83%B3%E3%82%B5%E3%83%AB%E3%83%86%E3%82%A3%E3%83%B3%E3%82%B0+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
17,コンサル,PwCコンサルティング,Big4系総合コンサル,新卒採用あり,要確認,https://www.pwc.com/jp/ja/careers/new-graduate-cd.html,公式新卒採用サイトで募集部門・選考情報を確認
18,コンサル,KPMGコンサルティング,Big4系総合コンサル,新卒採用あり,確認済み,https://recruit.kpmg-consulting.jp/new-graduate,公式新卒採用サイトで募集部門・選考情報を確認
19,コンサル,EYストラテジー・アンド・コンサルティング,Big4系総合コンサル,新卒採用あり,要確認,https://www.google.com/search?q=EY%E3%82%B9%E3%83%88%E3%83%A9%E3%83%86%E3%82%B8%E3%83%BC%E3%83%BB%E3%82%A2%E3%83%B3%E3%83%89%E3%83%BB%E3%82%B3%E3%83%B3%E3%82%B5%E3%83%AB%E3%83%86%E3%82%A3%E3%83%B3%E3%82%B0+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
20,コンサル,ベイカレント,日系総合コンサル代表,新卒採用あり,要確認,https://www.baycurrent.co.jp/recruit/newgraduate/,公式新卒採用サイトで募集要項・選考情報を確認
21,コンサル,アビームコンサルティング,日系総合コンサル代表,新卒採用あり,要確認,https://www.google.com/search?q=%E3%82%A2%E3%83%93%E3%83%BC%E3%83%A0%E3%82%B3%E3%83%B3%E3%82%B5%E3%83%AB%E3%83%86%E3%82%A3%E3%83%B3%E3%82%B0+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
22,コンサル,野村総合研究所,コンサルとSIを横断,新卒採用あり,要確認,https://www.google.com/search?q=%E9%87%8E%E6%9D%91%E7%B7%8F%E5%90%88%E7%A0%94%E7%A9%B6%E6%89%80+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
23,総合商社,三菱商事,総合商社最大手級,新卒採用あり,要確認,https://www.google.com/search?q=%E4%B8%89%E8%8F%B1%E5%95%86%E4%BA%8B+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
24,総合商社,三井物産,総合商社大手,新卒採用あり,確認済み,https://mitsui.i-web.jpn.com/2028/,2028年度向けの公式マイページ導線を確認
25,総合商社,伊藤忠商事,非資源・生活消費関連に強い,新卒採用あり,要確認,https://career.itochu.co.jp/student/information/index.html,公式新卒採用サイトで職掌・応募要件・処遇を確認
26,総合商社,住友商事,インフラ・メディア・金属など多角化,新卒採用あり,要確認,https://www.google.com/search?q=%E4%BD%8F%E5%8F%8B%E5%95%86%E4%BA%8B+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
27,総合商社,丸紅,電力・食料・アグリなどに強い,新卒採用あり,要確認,https://www.google.com/search?q=%E4%B8%B8%E7%B4%85+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
28,総合商社,豊田通商,自動車・アフリカ・商社機能,新卒採用あり,要確認,https://www.toyota-tsusho-recruit.com/saiyo/,公式新卒採用サイトで募集職種・選考情報を確認
29,総合商社,双日,中堅総合商社で裁量比較に有用,新卒採用あり,要確認,https://www.sojitz.com/jp/recruit/,公式採用サイトで募集情報を確認
30,総合商社,兼松,専門商社寄りの総合商社比較,新卒採用あり,要確認,https://www.kanematsu.co.jp/recruit/,公式採用サイトで募集要項を確認
31,金融,三井住友銀行,メガバンク代表,新卒採用あり,確認済み,https://www.smbc-freshers.com/,公式新卒採用サイトで募集職種・選考情報を確認
32,金融,三菱UFJ銀行,メガバンク代表,新卒採用あり,要確認,https://www.saiyo.bk.mufg.jp/,公式新卒採用サイトで募集職種・選考情報を確認
33,金融,みずほフィナンシャルグループ,メガバンク代表,新卒採用あり,要確認,https://www.mizuho-fg.co.jp/saiyou/index.html,公式採用サイトで募集職種・選考情報を確認
34,金融,野村證券,証券最大手級,新卒採用あり,要確認,https://www.nomura-recruit.jp/graduate/,公式新卒採用サイトで募集職種・選考情報を確認
35,金融,大和証券,大手証券,新卒採用あり,要確認,https://www.daiwa-grp-recruit.jp/,公式採用サイトで募集職種・選考情報を確認
36,金融,SMBC日興証券,銀行系証券,新卒採用あり,要確認,https://www.google.com/search?q=SMBC%E6%97%A5%E8%88%88%E8%A8%BC%E5%88%B8+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
37,金融,東京海上日動火災保険,損保最大手級,新卒採用あり,要確認,https://www.saiyou.tokiomarine-nichido.co.jp/,公式新卒採用サイトで募集職種・選考情報を確認
38,金融,三井住友海上火災保険,大手損保,新卒採用あり,要確認,https://www.msig-saiyou.com/,公式新卒採用サイトで募集職種・選考情報を確認
39,金融,損害保険ジャパン,大手損保,新卒採用あり,要確認,https://www.sompo-japan-saiyo.com/,公式新卒採用サイトで募集職種・選考情報を確認
40,金融,日本生命保険,生命保険最大手級,新卒採用あり,要確認,https://www.nissay-saiyo.com/,公式新卒採用サイトで募集職種・選考情報を確認
41,金融,第一生命保険,大手生保,新卒採用あり,要確認,https://www.dai-ichi-life-saiyo.jp/,公式新卒採用サイトで募集職種・選考情報を確認
42,金融,アコム,ノンバンク・消費者金融大手,新卒採用あり,確認済み,https://www.acom.co.jp/recruit/graduates/,公式新卒採用サイトで募集職種・選考情報を確認
43,自動車・機械・精密,トヨタ自動車,自動車業界最大手,新卒採用あり,要確認,https://www.toyota-recruit.com/saiyo/,公式新卒採用サイトで募集職種・選考情報を確認
44,自動車・機械・精密,本田技研工業,自動車・二輪・航空系の代表,新卒採用あり,要確認,https://www.honda-recruit.jp/,公式新卒採用サイトで募集職種・選考情報を確認
45,自動車・機械・精密,日産自動車,完成車大手,新卒採用あり,要確認,https://www.nissanmotor.jobs/japan/NE/,公式採用サイトで新卒募集情報を確認
46,自動車・機械・精密,マツダ,完成車大手,新卒採用あり,確認済み,https://www.mazda.com/ja/careers/newgraduate-1/recruitment/entry-2028,公式2028年度新卒採用エントリー導線を確認
47,自動車・機械・精密,スズキ,小型車・二輪に強い,新卒採用あり,要確認,https://saiyo.suzuki.co.jp/,公式採用サイトで募集職種・選考情報を確認
48,自動車・機械・精密,SUBARU,自動車・航空宇宙に強い,新卒採用あり,要確認,https://www.subaru.co.jp/jinji/guide/,公式採用サイトで募集職種・選考情報を確認
49,自動車・機械・精密,デンソー,自動車部品最大手級,新卒採用あり,要確認,https://www.google.com/search?q=%E3%83%87%E3%83%B3%E3%82%BD%E3%83%BC+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
50,自動車・機械・精密,アイシン,自動車部品大手,新卒採用あり,要確認,https://www.aisin.com/jp/recruit/,公式採用サイトで募集職種・選考情報を確認
51,自動車・機械・精密,キーエンス,FA・センサー高収益企業,新卒採用あり,要確認,https://www.google.com/search?q=%E3%82%AD%E3%83%BC%E3%82%A8%E3%83%B3%E3%82%B9+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
52,自動車・機械・精密,ファナック,FA・ロボット大手,新卒採用あり,要確認,https://www.google.com/search?q=%E3%83%95%E3%82%A1%E3%83%8A%E3%83%83%E3%82%AF+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
53,自動車・機械・精密,小松製作所,建機大手,新卒採用あり,要確認,https://www.komatsu.jp/ja/recruit/newgrads,公式新卒採用サイトで募集職種と選考情報を確認
54,自動車・機械・精密,クボタ,農機・水環境大手,新卒採用あり,要確認,https://www.google.com/search?q=%E3%82%AF%E3%83%9C%E3%82%BF+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
55,電機・半導体,ソニーグループ,電機・半導体・エンタメ複合企業,新卒採用あり,確認済み,https://www.recruit.sony.co.jp/2028/,公式2028年度新卒採用サイトを確認
56,電機・半導体,パナソニックグループ,総合電機大手,新卒採用あり,要確認,https://recruit.jpn.panasonic.com/newgrads/,公式新卒採用サイトで募集職種と選考情報を確認
57,電機・半導体,三菱電機,総合電機・FA・防衛・インフラ,新卒採用あり,要確認,https://www.mitsubishielectric.co.jp/saiyo/graduates/,公式新卒採用サイトで募集職種と選考情報を確認
58,電機・半導体,東芝,社会インフラ・エネルギー系電機,新卒採用あり,要確認,https://www.global.toshiba/jp/recruit/corporate/newgraduates.html,公式新卒採用サイトで募集職種を確認
59,電機・半導体,シャープ,家電・デバイス大手,新卒採用あり,要確認,https://corporate.jp.sharp/recruit/newgraduate/,公式新卒採用サイトで募集職種を確認
60,電機・半導体,キヤノン,精密・映像・医療機器,新卒採用あり,要確認,https://www.google.com/search?q=%E3%82%AD%E3%83%A4%E3%83%8E%E3%83%B3+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
61,電機・半導体,リコー,複合機・デジタルサービス,新卒採用あり,要確認,https://jp.ricoh.com/jobs/new-graduate,公式新卒採用サイトで募集職種を確認
62,電機・半導体,オムロン,制御機器・ヘルスケア,新卒採用あり,要確認,https://www.google.com/search?q=%E3%82%AA%E3%83%A0%E3%83%AD%E3%83%B3+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
63,電機・半導体,村田製作所,電子部品大手,新卒採用あり,要確認,https://recruit.murata.com/ja-jp/,公式採用サイトで募集職種とイベントを確認
64,電機・半導体,TDK,電子部品・電池材料大手,新卒採用あり,要確認,https://www.google.com/search?q=TDK+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
65,電機・半導体,東京エレクトロン,半導体製造装置大手,新卒採用あり,要確認,https://www.google.com/search?q=%E6%9D%B1%E4%BA%AC%E3%82%A8%E3%83%AC%E3%82%AF%E3%83%88%E3%83%AD%E3%83%B3+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
66,電機・半導体,レーザーテック,半導体検査装置の高成長企業,新卒採用あり,要確認,https://www.lasertec.co.jp/recruit/,公式採用サイトで募集情報を確認
67,消費財・食品・日用品,花王,日用品・化粧品大手,新卒採用あり,要確認,https://www.google.com/search?q=%E8%8A%B1%E7%8E%8B+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
68,消費財・食品・日用品,ライオン,日用品大手,新卒採用あり,要確認,https://www.google.com/search?q=%E3%83%A9%E3%82%A4%E3%82%AA%E3%83%B3+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
69,消費財・食品・日用品,資生堂,化粧品大手,新卒採用あり,要確認,https://www.google.com/search?q=%E8%B3%87%E7%94%9F%E5%A0%82+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
70,消費財・食品・日用品,ユニ・チャーム,衛生用品大手,新卒採用あり,要確認,https://www.google.com/search?q=%E3%83%A6%E3%83%8B%E3%83%BB%E3%83%81%E3%83%A3%E3%83%BC%E3%83%A0+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
71,消費財・食品・日用品,サントリーホールディングス,飲料・酒類大手,新卒採用あり,要確認,https://www.suntory.co.jp/recruit/fresh/,公式新卒採用サイトで募集職種を確認
72,消費財・食品・日用品,アサヒグループホールディングス,飲料・酒類大手,新卒採用あり,要確認,https://www.google.com/search?q=%E3%82%A2%E3%82%B5%E3%83%92%E3%82%B0%E3%83%AB%E3%83%BC%E3%83%97%E3%83%9B%E3%83%BC%E3%83%AB%E3%83%87%E3%82%A3%E3%83%B3%E3%82%B0%E3%82%B9+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
73,消費財・食品・日用品,キリンホールディングス,飲料・医薬関連も持つ大手,新卒採用あり,要確認,https://www.google.com/search?q=%E3%82%AD%E3%83%AA%E3%83%B3%E3%83%9B%E3%83%BC%E3%83%AB%E3%83%87%E3%82%A3%E3%83%B3%E3%82%B0%E3%82%B9+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
74,消費財・食品・日用品,味の素,食品・アミノサイエンス大手,新卒採用あり,要確認,https://www.ajinomoto.co.jp/company/jp/recruit/fresh/,公式新卒採用サイトで職種と募集要項を確認
75,消費財・食品・日用品,明治ホールディングス,食品・医薬品大手,新卒採用あり,要確認,https://www.meiji.com/recruit/newgraduate/,公式新卒採用サイトで募集情報を確認
76,消費財・食品・日用品,日清食品ホールディングス,加工食品大手,新卒採用あり,要確認,https://www.google.com/search?q=%E6%97%A5%E6%B8%85%E9%A3%9F%E5%93%81%E3%83%9B%E3%83%BC%E3%83%AB%E3%83%87%E3%82%A3%E3%83%B3%E3%82%B0%E3%82%B9+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
77,消費財・食品・日用品,ロッテ,菓子・食品大手,新卒採用あり,要確認,https://www.google.com/search?q=%E3%83%AD%E3%83%83%E3%83%86+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
78,消費財・食品・日用品,TOTO,住宅設備大手,新卒採用あり,要確認,https://www.google.com/search?q=TOTO+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
79,製薬・ヘルスケア,武田薬品工業,国内最大級の製薬企業,新卒採用あり,要確認,https://www.google.com/search?q=%E6%AD%A6%E7%94%B0%E8%96%AC%E5%93%81%E5%B7%A5%E6%A5%AD+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
80,製薬・ヘルスケア,第一三共,製薬大手,新卒採用あり,要確認,https://www.google.com/search?q=%E7%AC%AC%E4%B8%80%E4%B8%89%E5%85%B1+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
81,製薬・ヘルスケア,アステラス製薬,研究開発型製薬大手,新卒採用あり,要確認,https://www.google.com/search?q=%E3%82%A2%E3%82%B9%E3%83%86%E3%83%A9%E3%82%B9%E8%A3%BD%E8%96%AC+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
82,製薬・ヘルスケア,エーザイ,認知症領域などに強い製薬大手,新卒採用あり,要確認,https://www.google.com/search?q=%E3%82%A8%E3%83%BC%E3%82%B6%E3%82%A4+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
83,製薬・ヘルスケア,中外製薬,ロシュグループの高収益製薬,新卒採用あり,要確認,https://www.google.com/search?q=%E4%B8%AD%E5%A4%96%E8%A3%BD%E8%96%AC+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
84,製薬・ヘルスケア,塩野義製薬,感染症領域などに強い,新卒採用あり,要確認,https://www.google.com/search?q=%E5%A1%A9%E9%87%8E%E7%BE%A9%E8%A3%BD%E8%96%AC+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
85,製薬・ヘルスケア,大塚製薬,医薬品・ニュートラシューティカルズ,新卒採用あり,要確認,https://www.google.com/search?q=%E5%A4%A7%E5%A1%9A%E8%A3%BD%E8%96%AC+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
86,製薬・ヘルスケア,大鵬薬品工業,がん領域などに強い製薬企業,新卒採用あり,確認済み,https://www.taiho.co.jp/recruit/entry/,公式採用エントリー導線を確認
87,広告・エンタメ・メディア,電通,広告最大手級,新卒採用あり,確認済み,https://www.career.dentsu.jp/recruit/2028/,公式2028年度採用ページを確認
88,広告・エンタメ・メディア,博報堂DYグループ,広告大手,新卒採用あり,要確認,https://www.hakuhodo.co.jp/recruit/freshers/,公式新卒採用サイトで募集情報を確認
89,広告・エンタメ・メディア,ADKホールディングス,広告大手,新卒採用あり,要確認,https://www.adk.jp/recruit/,公式採用サイトで募集情報を確認
90,広告・エンタメ・メディア,NHK,日本の公共放送,新卒採用あり,要確認,https://www.nhk.or.jp/saiyo/,公式採用サイトで募集職種を確認
91,広告・エンタメ・メディア,日本テレビホールディングス,テレビ局大手,新卒採用あり,要確認,https://www.ntv.co.jp/jinji/recruit/,公式採用サイトで募集職種を確認
92,広告・エンタメ・メディア,フジ・メディア・ホールディングス,テレビ・メディア大手,新卒採用あり,要確認,https://www.fujitv.co.jp/saiyo/,公式採用サイトで募集職種を確認
93,広告・エンタメ・メディア,任天堂,ゲーム・IP大手,新卒採用あり,要確認,https://www.nintendo.co.jp/jobs/recruit/index.html,公式採用サイトで募集職種を確認
94,広告・エンタメ・メディア,バンダイ / BANDAI SPIRITS,玩具・IP・エンタメ大手,新卒採用あり,確認済み,https://www.bandai.co.jp/recruit/grad/,公式新卒採用サイトで募集情報を確認
95,不動産・インフラ,三井不動産,総合不動産大手,新卒採用あり,要確認,https://www.google.com/search?q=%E4%B8%89%E4%BA%95%E4%B8%8D%E5%8B%95%E7%94%A3+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
96,不動産・インフラ,三菱地所,総合不動産大手,新卒採用あり,要確認,https://www.google.com/search?q=%E4%B8%89%E8%8F%B1%E5%9C%B0%E6%89%80+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
97,不動産・インフラ,住友不動産,総合不動産大手,新卒採用あり,要確認,https://www.sumitomo-rd.co.jp/recruit/shinsotsu/,公式新卒採用サイトで募集職種を確認
98,不動産・インフラ,JR東日本,鉄道・生活サービス大手,新卒採用あり,要確認,https://www.jreast.co.jp/recruit/new-graduate/,公式新卒採用サイトで募集職種を確認
99,不動産・インフラ,東京電力ホールディングス,電力インフラ大手,新卒採用あり,要確認,https://www.google.com/search?q=%E6%9D%B1%E4%BA%AC%E9%9B%BB%E5%8A%9B%E3%83%9B%E3%83%BC%E3%83%AB%E3%83%87%E3%82%A3%E3%83%B3%E3%82%B0%E3%82%B9+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
100,不動産・インフラ,東京ガス,都市ガス・エネルギー大手,新卒採用あり,要確認,https://www.google.com/search?q=%E6%9D%B1%E4%BA%AC%E3%82%AC%E3%82%B9+%E6%96%B0%E5%8D%92%E6%8E%A1%E7%94%A8+%E3%83%9E%E3%82%A4%E3%83%9A%E3%83%BC%E3%82%B8,リンク切れ検出のため、公式新卒採用情報の検索導線に更新。実URL確認後に差し替え推奨
